,mds_x,mds_y,channel,month,title,year
0,-17.87204574882347,9.089184579588611,Sky Due,gennaio,match point,2005
1,-19.833097874162146,9.057613899824537,Sky Due,gennaio,the blind side,2009
2,2.729297545661664,-29.638729081083408,Sky Due,gennaio,il profeta,1968
3,-18.284438786937297,7.855895721237377,Sky Due,gennaio,blow,2001
4,-18.163188614139965,7.507374021180089,Sky Due,gennaio,blow,2001
5,-10.87020246189611,14.000410539874844,Sky Due,gennaio,devil's knot,2013
6,-22.351625288658383,4.112835429799327,Sky Due,gennaio,changeling,2008
7,-31.567605142095925,9.58439822720232,Sky Due,gennaio,c'era una volta il west,1968
8,-24.348763854812127,6.362195559295446,Sky Due,gennaio,romanzo criminale,2005
9,-16.372805080001516,14.362510596352946,Sky Due,gennaio,world trade center,2006
10,-26.291128039592383,3.7018718665140256,Sky Due,gennaio,the departed,2006
11,-19.50632147377729,13.79600542493858,Sky Due,gennaio,american history x,1998
12,-24.785423675137142,5.812778359143085,Sky Due,gennaio,forrest gump,1994
13,-8.630228372733589,27.48052784135417,Sky Due,gennaio,the rocky horror picture show,1975
14,-3.551321277492384,20.11418893754918,Sky Due,gennaio,dark night,2006
15,-6.580312308526874,17.995586952916277,Sky Due,gennaio,american pastoral,2016
16,-17.28491384513871,11.65430740023984,Sky Due,gennaio,blade runner,1982
17,-9.113663506976769,18.31026961687377,Sky Due,gennaio,l'imbalsamatore,2002
18,-13.01071698740562,23.087720547838774,Sky Due,gennaio,le conseguenze dell'amore,2004
19,-11.804154362936863,10.659786453511057,Sky Due,gennaio,radiofreccia,1998
20,-0.1594232602698624,-27.94808948726572,Sky Due,gennaio,elle,1995
21,-36.19092149325871,6.947632550567516,Sky Due,gennaio,la leggenda del pianista sull'oceano,1998
22,-13.5464568732364,10.522392695078263,Sky Due,gennaio,in bruges,2008
23,7.506485873062435,-16.654935826954695,Sky Due,gennaio,happy family,2004
24,21.31028200753136,1.5829291998596828,Sky Due,gennaio,atlas,1961
25,-24.340279219200163,1.9013129504547697,Sky Due,gennaio,forrest gump,1994
26,-7.839533649777763,-10.35960799118898,Sky Due,gennaio,argo,2004
27,-16.640030752911994,3.1407798858179867,Sky Due,gennaio,blade runner,1982
28,-21.16218150104995,5.552326509232479,Sky Due,gennaio,flags of our fathers,2006
29,-34.91985619078485,0.410075665174475,Sky Due,gennaio,schindler's list,1993
30,-7.123837898484889,-18.84180396816508,Sky Due,gennaio,shiraz,1928
31,-5.201883321065931,-11.650584172548614,Sky Due,gennaio,shiraz,1928
32,-8.033216098980851,1.050792875970426,Sky Due,gennaio,la terra,2006
33,-13.144854111368762,8.892939636110556,Sky Due,gennaio,la terra,2006
34,-0.0131305203426769,18.87925255683456,Sky Due,gennaio,ma che colpa abbiamo noi,2003
35,-6.376626104788487,18.489688050462213,Sky Due,gennaio,ma che colpa abbiamo noi,2003
36,-15.218378457206184,6.64039215459068,Sky Due,gennaio,michael clayton,2007
37,-15.771443552590773,12.888113646973064,Sky Due,gennaio,in bruges,2008
38,21.101981196722765,9.273540043949811,Sky Due,gennaio,atlas,1961
39,21.631408550718312,9.913614331477683,Sky Due,gennaio,atlas,1961
40,21.40589048725989,2.817987189064477,Sky Due,gennaio,atlas,1961
41,-27.325115280420302,1.930308393345204,Sky Due,gennaio,the departed,2006
42,-24.899044044785764,1.2353519165905722,Sky Due,gennaio,the departed,2006
43,-10.159056647214438,-11.379917978300217,Sky Due,gennaio,argo,2004
44,-16.96168245068137,4.946861982028,Sky Due,gennaio,blade runner,1982
45,-19.024610101430685,5.638382082768178,Sky Due,gennaio,blade runner,1982
46,-21.09495994713158,6.662320579677708,Sky Due,gennaio,flags of our fathers,2006
47,-21.16916554725896,6.6313020246988525,Sky Due,gennaio,flags of our fathers,2006
48,-26.741415152813087,3.5965256905410534,Sky Due,gennaio,eyes wide shut,1999
49,6.286116927760253,0.270878238454844,Sky Due,gennaio,edison,2005
50,-16.669112506406965,12.714422244688327,Sky Due,gennaio,in bruges,2008
51,-32.32298170536467,-16.687631068186807,Sky Due,gennaio,"il buono, il brutto, il cattivo",1966
52,24.315641509752588,1.7707796434793528,Sky Due,gennaio,atlas,1961
53,-16.45436926366813,6.965198995819536,Sky Due,gennaio,the interpreter,2005
54,-17.042184010376243,9.410276948801895,Sky Due,gennaio,nuovomondo,2006
55,-17.932146098599926,3.3319804476166364,Sky Due,gennaio,blade runner,1982
56,-22.033475641233483,8.90265316918665,Sky Due,gennaio,flags of our fathers,2006
57,-8.094863987021883,23.05630949441564,Sky Due,gennaio,vicky cristina barcelona,2008
58,-13.03751021438481,19.867155717958116,Sky Due,gennaio,le conseguenze dell'amore,2004
59,-5.92031813016849,13.783916898810888,Sky Due,gennaio,blackbird,2007
60,6.484011117418017,5.05049521353253,Sky Due,gennaio,edison,2005
61,-15.681466864337173,7.044985340830467,Sky Due,aprile,match point,2005
62,-34.65150525791043,9.887847983524184,Sky Due,aprile,la leggenda del pianista sull'oceano,1998
63,3.058528457770177,-27.94189083197103,Sky Due,aprile,il profeta,1968
64,-32.96530807365763,-14.132573001122797,Sky Due,aprile,"il buono, il brutto, il cattivo",1966
65,-33.825038198102725,-14.161672153697776,Sky Due,aprile,"il buono, il brutto, il cattivo",1966
66,-32.711386590448974,-14.360525962717732,Sky Due,aprile,"il buono, il brutto, il cattivo",1966
67,-29.68269984977603,2.707677458732193,Sky Due,aprile,barry lyndon,1975
68,-31.91558347518611,7.990462891776812,Sky Due,aprile,c'era una volta il west,1968
