,day,day_number,month,daytime,title,duration,duration_with_advertising,channel,year,genres,rating,advertising,sharing
54,Domenica,23,gennaio,mattina,nuovomondo,118,120,Sky Due,2006,"Romance,Drama",6.9,2,0.07
55,Martedì,4,gennaio,mattina,blade runner,117,125,Sky Due,1982,"Action,Sci-Fi,Thriller",8.1,8,0.07
56,Lunedì,10,gennaio,mattina,flags of our fathers,135,135,Sky Due,2006,"Action,Adventure,Drama",7.1,0,0.07
57,Venerdì,28,gennaio,mattina,vicky cristina barcelona,96,100,Sky Due,2008,"Comedy,Romance,Drama",7.1,4,0.07
58,Lunedì,24,gennaio,mattina,le conseguenze dell'amore,100,110,Sky Due,2004,"Romance,Crime,Drama",7.5,10,0.07
59,Lunedì,10,gennaio,mattina,blackbird,104,105,Sky Due,2007,Drama,6.1,1,0.07
60,Mercoledì,26,gennaio,mattina,edison,99,110,Sky Due,2005,"Action,Crime,Drama",5.3,11,0.07
61,Martedì,26,aprile,notte,match point,124,125,Sky Due,2005,"Romance,Thriller,Drama",7.6,1,0.1
62,Venerdì,22,aprile,notte,la leggenda del pianista sull'oceano,169,170,Sky Due,1998,"Romance,Drama",8.1,1,0.1
63,Sabato,30,aprile,notte,il profeta,100,155,Sky Due,1968,Comedy,6.1,55,0.1
64,Venerdì,1,aprile,notte,"il buono, il brutto, il cattivo",161,175,Sky Due,1966,Western,8.8,14,0.1
65,Domenica,10,aprile,notte,"il buono, il brutto, il cattivo",161,175,Sky Due,1966,Western,8.8,14,0.1
66,Venerdì,29,aprile,notte,"il buono, il brutto, il cattivo",161,175,Sky Due,1966,Western,8.8,14,0.1
67,Mercoledì,20,aprile,notte,barry lyndon,185,185,Sky Due,1975,"Adventure,Drama",8.1,0,0.1
68,Domenica,17,aprile,notte,c'era una volta il west,165,165,Sky Due,1968,Western,8.5,0,0.1
69,Giovedì,14,aprile,notte,atlas,79,95,Sky Due,1961,"Action,Adventure,Drama",4.1,16,0.1
70,Mercoledì,13,aprile,notte,american pastoral,108,110,Sky Due,2016,"Crime,Drama",6.1,2,0.1
71,Sabato,30,aprile,notte,eyes wide shut,159,160,Sky Due,1999,"Thriller,Drama",7.4,1,0.1
72,Lunedì,11,aprile,notte,eyes wide shut,159,160,Sky Due,1999,"Thriller,Drama",7.4,1,0.1
73,Giovedì,28,aprile,pomeriggio,the blind side,129,130,Sky Due,2009,Drama,7.6,1,0.065
74,Giovedì,14,aprile,pomeriggio,la leggenda del pianista sull'oceano,169,170,Sky Due,1998,"Romance,Drama",8.1,1,0.065
75,Venerdì,1,aprile,pomeriggio,michael clayton,119,125,Sky Due,2007,"Crime,Drama",7.2,6,0.065
76,Lunedì,4,aprile,pomeriggio,syriana,128,130,Sky Due,2005,"Thriller,Drama",6.9,2,0.065
77,Mercoledì,27,aprile,pomeriggio,ted bundy,99,110,Sky Due,2002,"Crime,Drama",5.8,11,0.065
78,Domenica,17,aprile,pomeriggio,shakespeare in love,123,125,Sky Due,1998,"Comedy,Drama",7.1,2,0.065
79,Giovedì,7,aprile,pomeriggio,argo,106,120,Sky Due,2004,"Action,Comedy",7.1,14,0.065
80,Venerdì,22,aprile,pomeriggio,mars attacks!,106,110,Sky Due,1996,"Comedy,Sci-Fi",6.3,4,0.065
81,Venerdì,8,aprile,pomeriggio,blade runner,117,120,Sky Due,1982,"Action,Sci-Fi,Thriller",8.1,3,0.065
82,Venerdì,29,aprile,pomeriggio,moulin rouge!,127,130,Sky Due,2001,"Romance,Drama",7.6,3,0.065
83,Mercoledì,20,aprile,mattina,michael clayton,119,120,Sky Due,2007,"Crime,Drama",7.2,1,0.035
84,Domenica,3,aprile,mattina,barry lyndon,185,185,Sky Due,1975,"Adventure,Drama",8.1,0,0.035
85,Sabato,2,aprile,mattina,changeling,141,145,Sky Due,2008,"Crime,Drama",7.7,4,0.035
86,Domenica,3,aprile,mattina,atlas,79,90,Sky Due,1961,"Action,Adventure,Drama",4.1,11,0.035
87,Martedì,26,aprile,mattina,thank you for smoking,92,95,Sky Due,2005,"Comedy,Drama",7.6,3,0.035
88,Martedì,26,aprile,mattina,ted bundy,99,105,Sky Due,2002,"Crime,Drama",5.8,6,0.035
89,Mercoledì,6,aprile,mattina,suburbicon,105,110,Sky Due,2017,"Comedy,Crime,Drama",5.7,5,0.035
90,Giovedì,14,aprile,mattina,flags of our fathers,135,135,Sky Due,2006,"Action,Adventure,Drama",7.1,0,0.035
91,Sabato,30,aprile,mattina,shiraz,97,115,Sky Due,1928,"Romance,Drama",7.0,18,0.035
92,Giovedì,7,aprile,mattina,shiraz,97,115,Sky Due,1928,"Romance,Drama",7.0,18,0.035
93,Giovedì,14,aprile,mattina,la terra,112,115,Sky Due,2006,"Crime,Drama",6.9,3,0.035
94,Lunedì,18,aprile,mattina,moulin rouge!,127,130,Sky Due,2001,"Romance,Drama",7.6,3,0.035
95,Martedì,5,aprile,mattina,gomorra,137,140,Sky Due,2008,"Crime,Drama",7.0,3,0.035
96,Mercoledì,13,aprile,sera,thank you for smoking,92,100,Sky Due,2005,"Comedy,Drama",7.6,8,0.065
97,Venerdì,22,aprile,sera,the departed,151,155,Sky Due,2006,"Thriller,Crime,Drama",8.5,4,0.065
98,Martedì,12,aprile,sera,the departed,151,160,Sky Due,2006,"Thriller,Crime,Drama",8.5,9,0.065
99,Martedì,26,aprile,sera,ted bundy,99,110,Sky Due,2002,"Crime,Drama",5.8,11,0.065
100,Sabato,30,aprile,sera,ted bundy,99,105,Sky Due,2002,"Crime,Drama",5.8,6,0.065
